layer,age_numeric,ci_lower,ci_upper,mean,layer_ordered
P1,2,0.07122321190464374,0.13410805753062813,0.10036445135761009,P1
P1,3,0.07471019462653429,0.14421274412007798,0.10650119304590908,P1
P1,4,0.08004399352564677,0.14680660198924966,0.11068150156170298,P1
P1,5,0.09176123318431718,0.16877678299281385,0.1281067782334785,P1
P1,6,0.10210675272255203,0.1825274051616541,0.14135546977152863,P1
P1,7,0.1114319196917864,0.1985424088251075,0.1539111860823074,P1
P1,8,0.09600666192571745,0.17507182553609038,0.13661453025286072,P1
P1,9,0.09798313537963,0.18601239062499259,0.13955237152843894,P1
P1,10,0.10569389264345257,0.199734445504718,0.1508631574082822,P1
P2,2,0.10827865106583608,0.1666789192207405,0.13596815693026124,P2
P2,3,0.10775254801395484,0.17666126297623247,0.13958690964663745,P2
P2,4,0.11396946103656468,0.18020983973126842,0.1480616675321184,P2
P2,5,0.14828490578865378,0.2334709329330936,0.18778943208134144,P2
P2,6,0.1758512477033387,0.25715189906262775,0.21443630281211448,P2
P2,7,0.18753881323536173,0.2780146060233171,0.23169678234162613,P2
P2,8,0.17925571726363745,0.2795590944109868,0.22798682260391595,P2
P2,9,0.18856947989610282,0.30485365274167625,0.24278653154961663,P2
P2,10,0.185511393151818,0.2830602859229998,0.2342025249078232,P2
P3,2,0.22421057975977002,0.3017251925920461,0.2620740711780764,P3
P3,3,0.20204386532444388,0.2724591478476984,0.23596763319480457,P3
P3,4,0.23307382586929404,0.3068263387062421,0.26817156904283457,P3
P3,5,0.29036755652783686,0.3748516097875996,0.33224776491748587,P3
P3,6,0.32925779357568313,0.4270700331604519,0.3782809761373533,P3
P3,7,0.37056926891864994,0.48380570420424635,0.42916377346830087,P3
P3,8,0.37388303637534515,0.4746750229055732,0.4255325216353608,P3
P3,9,0.36552727098230875,0.48200881503248694,0.42250561872219866,P3
P3,10,0.4027362566943414,0.5225178979875925,0.4648680024534165,P3
P4,2,0.30465773915009114,0.3887054915292806,0.3469220959331879,P4
P4,3,0.2845155614286705,0.3600239988089064,0.3236616416362978,P4
P4,4,0.32032585190605145,0.3956171513724106,0.35875654487000813,P4
P4,5,0.3779920006551901,0.48071002774537197,0.42863129472155065,P4
P4,6,0.4439955632947643,0.5464364926213721,0.4944909490304295,P4
P4,7,0.49542342548646473,0.6120831587937487,0.555243067939474,P4
P4,8,0.5070696208900973,0.611591737989901,0.5609675861799727,P4
P4,9,0.4959929379210395,0.5978606489092824,0.5475342597127344,P4
P4,10,0.5303164671508585,0.6283194294741323,0.5821704729088463,P4
P5,2,0.2580318229627591,0.34894802288818705,0.3056843054963435,P5
P5,3,0.25348267675576336,0.3349087812228376,0.2929969944281165,P5
P5,4,0.2712443414264589,0.3601788660850695,0.31721874730482325,P5
P5,5,0.32009947600034033,0.4293802353896783,0.37447428235465463,P5
P5,6,0.38230369595059527,0.5009023489801779,0.44163595465112887,P5
P5,7,0.4214721222508496,0.5448161541035352,0.4842677747237776,P5
P5,8,0.4473052722808521,0.5530354323625548,0.502172144860907,P5
P5,9,0.4279198561354142,0.5522366779090696,0.4912726514186724,P5
P5,10,0.43988103426737324,0.5579628979387944,0.498391071731373,P5
FC6,2,0.26741326387687286,0.3500001223570048,0.3091021584720827,FC6
FC6,3,0.24890997990498756,0.32300429156816246,0.28623056391084856,FC6
FC6,4,0.26384994522531907,0.34597257714064006,0.30824342654670567,FC6
FC6,5,0.32766480828517597,0.44269319206255,0.38478490173974766,FC6
FC6,6,0.3739927542707459,0.4939914619444978,0.43504691839378873,FC6
FC6,7,0.40495746281806005,0.5276396761910206,0.4694101711578897,FC6
FC6,8,0.4304693145766117,0.5473333846674536,0.4901302581722387,FC6
FC6,9,0.4145114248195402,0.5447918294648367,0.48103453443556393,FC6
FC6,10,0.43672183506013523,0.5523030910072995,0.49615476069516606,FC6
FC7,2,0.22859167843245667,0.3103527884611779,0.2682544690635308,FC7
FC7,3,0.21505739805461752,0.29431727568609495,0.25217681344694526,FC7
FC7,4,0.2166228606272896,0.3000057422725252,0.26035374767575237,FC7
FC7,5,0.28816311014694634,0.3829807046070091,0.3349500287406124,FC7
FC7,6,0.32064719292136723,0.4389846383052699,0.3792221758095478,FC7
FC7,7,0.35732512991352305,0.47640165454518424,0.4186520503456518,FC7
FC7,8,0.3584579082671431,0.47887403055386607,0.4186144084430795,FC7
FC7,9,0.3588674477617006,0.47976318202846396,0.42101387270285573,FC7
FC7,10,0.3803369706471901,0.5028867285592683,0.44447584490026126,FC7
