category,childs_age,ci_lower,ci_upper,mean
TV,2,NA,NA,1
TV,3,1,1.6666666666666667,1.2222222222222223
TV,4,1.4444444444444444,3.2222222222222223,2.3333333333333335
TV,5,1,1.8,1.4
TV,6,1.6666666666666667,2.3333333333333335,2
TV,7,1.6666666666666667,3.1666666666666665,2.5
TV,8,1,3,1.6666666666666667
TV,9,1.6,3.4,2.4
TV,10,NA,NA,5
airplane,2,NA,NA,1
airplane,3,1.6666666666666667,3,2.3333333333333335
airplane,4,1.6666666666666667,3.111111111111111,2.3333333333333335
airplane,5,1.6,2.8,2.2
airplane,6,1.3333333333333333,2.5,1.9166666666666667
airplane,7,1.6666666666666667,3.3333333333333335,2.5
airplane,8,1,2,1.6666666666666667
airplane,9,2.6,4.2,3.4
airplane,10,NA,NA,2
apple,2,NA,NA,1
apple,3,1,1.5555555555555556,1.2222222222222223
apple,4,1.5555555555555556,3.5555555555555554,2.5555555555555554
apple,5,1.2,2.8,2
apple,6,1.6666666666666667,2.5,2.0833333333333335
apple,7,2.6666666666666665,3.6666666666666665,3.1666666666666665
apple,8,2,3,2.3333333333333335
apple,9,1.8,3.8,2.8
apple,10,NA,NA,1
bear,2,NA,NA,1
bear,3,1,2.111111111111111,1.4444444444444444
bear,4,1.441666666666669,3.2222222222222223,2.2222222222222223
bear,5,1.2,2.8,2
bear,6,1.0833333333333333,1.6666666666666667,1.3333333333333333
bear,7,1.8291666666666704,3.1666666666666665,2.5
bear,8,2,3,2.3333333333333335
bear,9,1.8,3.6,2.8
bear,10,NA,NA,1
bed,2,NA,NA,1
bed,3,1,1.5555555555555556,1.2222222222222223
bed,4,1.6638888888888914,3.3333333333333335,2.4444444444444446
bed,5,2,3.4,2.6
bed,6,2,2.9166666666666665,2.5
bed,7,1.8333333333333333,3.5,2.6666666666666665
bed,8,2,3,2.3333333333333335
bed,9,1.8,3.6,2.8
bed,10,NA,NA,2
bee,2,NA,NA,1
bee,3,1,1.7777777777777777,1.3333333333333333
bee,4,1.6666666666666667,3.4444444444444446,2.4444444444444446
bee,5,1.2,2.8,2
bee,6,1.5,2.5833333333333335,2
bee,7,2.1666666666666665,3.3333333333333335,2.6666666666666665
bee,8,2,4,2.6666666666666665
bee,9,1.2,4,2.6
bee,10,NA,NA,2
bike,2,NA,NA,2
bike,3,1,2.3333333333333335,1.5555555555555556
bike,4,1.8888888888888888,3.5555555555555554,2.6666666666666665
bike,5,1,2.2,1.4
bike,6,1.9166666666666667,3.0833333333333335,2.5
bike,7,2.3333333333333335,3,2.6666666666666665
bike,8,1,3,2.3333333333333335
bike,9,2.2,3.8,3
bike,10,NA,NA,1
bird,2,NA,NA,1
bird,3,1,2.4444444444444446,1.6666666666666667
bird,4,2.7777777777777777,3.7777777777777777,3.2222222222222223
bird,5,3,3.6,3.2
bird,6,2.0833333333333335,3.4166666666666665,2.75
bird,7,2.1666666666666665,3.6666666666666665,3
bird,8,2,3,2.6666666666666665
bird,9,2,2.8,2.4
bird,10,NA,NA,2
boat,2,NA,NA,1
boat,3,1.1111111111111112,2.44722222222222,1.7777777777777777
boat,4,1.6666666666666667,3.4444444444444446,2.4444444444444446
boat,5,2,2.8,2.4
boat,6,1.5,2.5833333333333335,2
boat,7,2.1666666666666665,3,2.6666666666666665
boat,8,2,3,2.3333333333333335
boat,9,2.4,3.6,3
boat,10,NA,NA,2
book,2,NA,NA,1
book,3,1,1.8888888888888888,1.4444444444444444
book,4,1.6666666666666667,3.4444444444444446,2.5555555555555554
book,5,1.2,2,1.6
book,6,1.8333333333333333,2.6666666666666665,2.25
book,7,2.3333333333333335,3.3333333333333335,2.8333333333333335
book,8,2,3,2.6666666666666665
book,9,1.8,3.8,2.8
book,10,NA,NA,1
bottle,2,NA,NA,1
bottle,3,1,1.3333333333333333,1.1111111111111112
bottle,4,1.1111111111111112,2.6666666666666665,1.7777777777777777
bottle,5,1,1.8,1.4
bottle,6,1,1.75,1.3333333333333333
bottle,7,1.3333333333333333,2.3333333333333335,1.8333333333333333
bottle,8,1,2,1.3333333333333333
bottle,9,1.6,2.8,2.2
bottle,10,NA,NA,1
bowl,2,NA,NA,1
bowl,3,1,1.3333333333333333,1.1111111111111112
bowl,4,1.3333333333333333,3.3333333333333335,2.2222222222222223
bowl,5,1,2.4,1.6
bowl,6,1.1666666666666667,1.9166666666666667,1.5
bowl,7,1.3333333333333333,2.3333333333333335,1.8333333333333333
bowl,8,1,3,2
bowl,9,1.3950000000000045,2.8,2
bowl,10,NA,NA,1
cactus,2,NA,NA,1
cactus,3,1,1,1
cactus,4,1.1111111111111112,2.6666666666666665,1.7777777777777777
cactus,5,1,1.6,1.2
cactus,6,1,1.25,1.0833333333333333
cactus,7,1.5,2.5,2
cactus,8,1,3,1.6666666666666667
cactus,9,1.2,2.8,2
cactus,10,NA,NA,1
camel,2,NA,NA,1
camel,3,1,1,1
camel,4,1,2.7777777777777777,1.6666666666666667
camel,5,1,1,1
camel,6,1,1,1
camel,7,1.1666666666666667,1.8333333333333333,1.5
camel,8,1,1,1
camel,9,1,1.8,1.4
camel,10,NA,NA,1
car,2,NA,NA,3
car,3,2.111111111111111,4,3
car,4,2.3333333333333335,3.7777777777777777,3.111111111111111
car,5,2.6,3.8,3.2
car,6,1.8333333333333333,3.25,2.5833333333333335
car,7,2.3333333333333335,3.8333333333333335,3.1666666666666665
car,8,2,4,3
car,9,2.6,4.4,3.6
car,10,NA,NA,4
cat,2,NA,NA,1
cat,3,1.4444444444444444,2.888888888888889,2.111111111111111
cat,4,2.5555555555555554,3.888888888888889,3.2222222222222223
cat,5,2.2,3.8,3
cat,6,1.8312500000000018,3.25,2.5
cat,7,2.8333333333333335,4.333333333333333,3.6666666666666665
cat,8,2,4,3.3333333333333335
cat,9,2.2,3.4,2.8
cat,10,NA,NA,4
chair,2,NA,NA,1
chair,3,1.1111111111111112,1.6666666666666667,1.3333333333333333
chair,4,1.7777777777777777,3.2222222222222223,2.4444444444444446
chair,5,2,2.8,2.4
chair,6,1.5833333333333333,2.6666666666666665,2.0833333333333335
chair,7,1.6666666666666667,2.6666666666666665,2.1666666666666665
chair,8,2,3,2.3333333333333335
chair,9,1.2,2.4,1.8
chair,10,NA,NA,2
clock,2,NA,NA,2
clock,3,1,2.2249999999999974,1.5555555555555556
clock,4,1.4444444444444444,3.2222222222222223,2.3333333333333335
clock,5,1.2,2.4,1.8
clock,6,1.4166666666666667,2.5,1.9166666666666667
clock,7,1.6666666666666667,2.8333333333333335,2.3333333333333335
clock,8,2,3,2.6666666666666665
clock,9,2,3.4,2.6
clock,10,NA,NA,3
couch,2,NA,NA,1
couch,3,1,1.3333333333333333,1.1111111111111112
couch,4,1.3333333333333333,2.888888888888889,2
couch,5,1.6,3.2,2.4
couch,6,1.1666666666666667,1.9166666666666667,1.5
couch,7,1.5,2.5,2
couch,8,1,2,1.3333333333333333
couch,9,1.2,3.6,2.4
couch,10,NA,NA,1
cow,2,NA,NA,1
cow,3,1.1111111111111112,1.6666666666666667,1.3333333333333333
cow,4,1.4444444444444444,3,2.111111111111111
cow,5,1,1.8,1.4
cow,6,1.1666666666666667,2,1.5833333333333333
cow,7,1.8333333333333333,3.3333333333333335,2.6666666666666665
cow,8,2,2,2
cow,9,2,3.8,2.8
cow,10,NA,NA,3
cup,2,NA,NA,1
cup,3,1,1.6666666666666667,1.2222222222222223
cup,4,1.8888888888888888,3.44722222222222,2.6666666666666665
cup,5,1,2.4,1.6
cup,6,1.5,2.6666666666666665,2.0833333333333335
cup,7,1.3333333333333333,2.3333333333333335,1.8333333333333333
cup,8,1,2,1.6666666666666667
cup,9,1.6,3.6,2.6
cup,10,NA,NA,2
dog,2,NA,NA,1
dog,3,1.3333333333333333,2.888888888888889,2.111111111111111
dog,4,2.6666666666666665,4.111111111111111,3.3333333333333335
dog,5,2.2,4,3
dog,6,2.4166666666666665,3.5,2.9166666666666665
dog,7,2.8333333333333335,4,3.5
dog,8,3,4,3.3333333333333335
dog,9,3.2,4,3.6
dog,10,NA,NA,1
elephant,2,NA,NA,1
elephant,3,1,1.7777777777777777,1.3333333333333333
elephant,4,1.4444444444444444,3,2.111111111111111
elephant,5,1.5950000000000046,2.8,2.2
elephant,6,1.25,1.75,1.5
elephant,7,2,3.6666666666666665,2.8333333333333335
elephant,8,2,3,2.3333333333333335
elephant,9,2,4.2,3
elephant,10,NA,NA,3
face,2,NA,NA,2
face,3,2.111111111111111,4,3.111111111111111
face,4,3.6666666666666665,4.888888888888889,4.333333333333333
face,5,4,4.8,4.4
face,6,3.6666666666666665,4.75,4.25
face,7,3.8333333333333335,5,4.5
face,8,4,4,4
