age_numeric,bin,ci_lower,ci_upper,mean,covariate,bin_name
2,1,0.21105287567945083,0.3225390682088081,0.26571418605045877,by ink used,1
2,2,0.2779106751960128,0.38479766421390355,0.3354047852016118,by ink used,2
2,3,0.2100327222113176,0.3094455313034109,0.2614627262472699,by ink used,3
3,1,0.18542155086765943,0.27737313625906196,0.2303191084475123,by ink used,1
3,2,0.23076416056008825,0.3406634218693743,0.28706010356612605,by ink used,2
3,3,0.21222424847424187,0.3241978230939928,0.2651141476496807,by ink used,3
4,1,0.23438365337440628,0.33643949547767527,0.28386921596752646,by ink used,1
4,2,0.24838110558550142,0.35129709162465717,0.3010310819495232,by ink used,2
4,3,0.21278189304608663,0.3224390622674741,0.26727417939291537,by ink used,3
5,1,0.23792020019679436,0.3708034122484911,0.3049911714011811,by ink used,1
5,2,0.3332563497597049,0.45148597925717204,0.39083472927450125,by ink used,2
5,3,0.27235191937921627,0.394086223405296,0.33529633939223963,by ink used,3
6,1,0.29393975681771783,0.4417526740990134,0.3666229163428835,by ink used,1
6,2,0.3799035205479898,0.5023783164624328,0.44162243099247533,by ink used,2
6,3,0.3215506371009218,0.4691625131215217,0.3924969036089993,by ink used,3
7,1,0.2950840902670673,0.4470808427911635,0.37262964785579916,by ink used,1
7,2,0.4177435563229106,0.5619127992483129,0.49124449699544354,by ink used,2
7,3,0.330930295243541,0.481703421534406,0.4055621710533665,by ink used,3
8,1,0.3156565492239745,0.4741443232127675,0.3966912830024243,by ink used,1
8,2,0.41004213391966154,0.5547727344142787,0.4861564327556975,by ink used,2
8,3,0.3871544523506796,0.5453673728609684,0.46411192707866405,by ink used,3
9,1,0.29577968530565524,0.47038040243375034,0.38259949096932827,by ink used,1
9,2,0.4250078350468976,0.590314848635161,0.5096788917101417,by ink used,2
9,3,0.3300898180909791,0.4996881038828922,0.4122639398593991,by ink used,3
10,1,0.3134349198923956,0.48957685334246387,0.39897553071350483,by ink used,1
10,2,0.4158676169654183,0.5506625953765806,0.48624028217439597,by ink used,2
10,3,0.37844079052007035,0.5290291510042687,0.45309521159985977,by ink used,3
2,1,0.18061793849967536,0.31757430133541364,0.24826038364830716,by strokes drawn,1
2,2,0.2736725083818427,0.3745756569050207,0.32466093267134793,by strokes drawn,2
2,3,0.21886538239433154,0.3344523526903747,0.2746452811623518,by strokes drawn,3
3,1,0.15157939710208682,0.24998086268006497,0.20002823988857935,by strokes drawn,1
3,2,0.23809199383775095,0.3363371475388683,0.28624644403285504,by strokes drawn,2
3,3,0.26269343721644606,0.3827630283893008,0.31988343237187145,by strokes drawn,3
4,1,0.2018978543969154,0.3104501007044415,0.2608082916867178,by strokes drawn,1
4,2,0.2411671961848491,0.3387721279182379,0.29053067809524097,by strokes drawn,2
4,3,0.2488108493250249,0.35633147532965026,0.30249449695731256,by strokes drawn,3
5,1,0.23273357509560944,0.36563597222373734,0.3009024440613445,by strokes drawn,1
5,2,0.2910559856849217,0.41508398394462537,0.3537592431367658,by strokes drawn,2
5,3,0.2633897560740584,0.39818064976377526,0.3279689224193245,by strokes drawn,3
6,1,0.27231154404704416,0.42127597415483103,0.3464633024506835,by strokes drawn,1
6,2,0.35394227839359604,0.49369321421038675,0.4210664044534169,by strokes drawn,2
6,3,0.33354659074691256,0.5030075145452946,0.41891237968964906,by strokes drawn,3
7,1,0.3166199198161218,0.4934671593267814,0.3984251403269232,by strokes drawn,1
7,2,0.3622620714406049,0.5060958935335245,0.4326934100504992,by strokes drawn,2
7,3,0.365121471380273,0.5145943085240909,0.44176414112735246,by strokes drawn,3
8,1,0.30873200289142094,0.49174662778799744,0.3984438328354637,by strokes drawn,1
8,2,0.3945657700057976,0.5359740241461288,0.4647865359721977,by strokes drawn,2
8,3,0.37804106908505203,0.5414579888458327,0.4535511907520021,by strokes drawn,3
9,1,0.35341397368970895,0.5292850098226937,0.4432926346529288,by strokes drawn,1
9,2,0.3650310048747549,0.522173152368465,0.4420861545861546,by strokes drawn,2
9,3,0.35996945686501614,0.5146008374857783,0.4367685125618562,by strokes drawn,3
10,1,0.32415543342230024,0.4910514016212546,0.4067819022260752,by strokes drawn,1
10,2,0.3863181998387701,0.5224665392374391,0.4547091440014234,by strokes drawn,2
10,3,0.3564410335187474,0.5336419955481085,0.44841680797272904,by strokes drawn,3
2,1,0.22315399647272754,0.33727662268167174,0.2814837362716219,by time spent,1
2,2,0.2563742756059659,0.3702303534452698,0.31408557463849646,by time spent,2
2,3,0.23340638618258105,0.3407723136238761,0.2860159370177752,by time spent,3
3,1,0.18690875023581546,0.28530394812543064,0.2341602096724213,by time spent,1
3,2,0.25639379498152537,0.35673211232334723,0.30642686471766345,by time spent,2
3,3,0.23535658132489712,0.3360542852760763,0.28564700837942797,by time spent,3
4,1,0.20942226639226563,0.31194011399660887,0.2609198092224767,by time spent,1
4,2,0.2786055413049205,0.3767678291948554,0.32855067929454845,by time spent,2
4,3,0.2367581085136562,0.3357778619150032,0.2847265110746131,by time spent,3
5,1,0.2527545015768522,0.385027153145555,0.3167896576632228,by time spent,1
5,2,0.3182956976419372,0.4383359332364729,0.3771117051954144,by time spent,2
5,3,0.2976027486066371,0.4165814937610898,0.35361634027714195,by time spent,3
6,1,0.2979775813958484,0.4379483857354165,0.36274566169433015,by time spent,1
6,2,0.3646046671323266,0.4959967572560179,0.4310332871707007,by time spent,2
6,3,0.35418369811526307,0.5071371333425094,0.43071297784898704,by time spent,3
7,1,0.3345150593303217,0.49035407089285393,0.41433343284129287,by time spent,1
7,2,0.4102528897977986,0.5324081980218922,0.47501378474777184,by time spent,2
7,3,0.33103574135317926,0.4915438582020803,0.4108437963093458,by time spent,3
8,1,0.3442714941635056,0.49317944913965434,0.42185550767412966,by time spent,1
8,2,0.4277280929429367,0.5733891951084047,0.5020713759960084,by time spent,2
8,3,0.3743829787791566,0.5419857596975339,0.45645400228730937,by time spent,3
9,1,0.33334566492195167,0.5135352558491345,0.42527573529411766,by time spent,1
9,2,0.4166860338735338,0.5768728204665704,0.4974114427239427,by time spent,2
9,3,0.3710463826632306,0.5380953949432211,0.4508186258186258,by time spent,3
10,1,0.37146534125552266,0.5215848479121936,0.4451951657913934,by time spent,1
10,2,0.42416203209746406,0.5545330892470139,0.4854242758194964,by time spent,2
10,3,0.36598774940892304,0.5372778932230122,0.4503370175003302,by time spent,3
2,1,0.23841722334169857,0.33261039807845444,0.2853869299427708,by tracing ability,1
2,2,0.35558493073120734,0.49375699212135377,0.4221361380935849,by tracing ability,2
2,3,0.2679080988455989,0.4612833694083694,0.36632395382395383,by tracing ability,3
3,1,0.22333917393660335,0.30025291330735443,0.2602863790307732,by tracing ability,1
3,2,0.2677744940651551,0.3865485351326943,0.3264048501820241,by tracing ability,2
3,3,0.30107983241505976,0.47760092811229177,0.38938902007083825,by tracing ability,3
4,1,0.22315763247673934,0.3200187586676072,0.27057962225654725,by tracing ability,1
4,2,0.28235357943106465,0.3801178604342532,0.33064598806741197,by tracing ability,2
4,3,0.32240122375922015,0.45578739515272015,0.3847198151972726,by tracing ability,3
5,1,0.29926469601225225,0.39736337642680913,0.3499750830150002,by tracing ability,1
5,2,0.3231093903074938,0.4269064983428342,0.3746828036380123,by tracing ability,2
5,3,0.35552795727791586,0.49962035213208705,0.42679226103476187,by tracing ability,3
6,1,0.30917242107003623,0.4508293190118848,0.3812477179253495,by tracing ability,1
6,2,0.3682411606987503,0.4860217459918865,0.4267781202354416,by tracing ability,2
6,3,0.3917882807130173,0.5343147050919463,0.4642036659618308,by tracing ability,3
7,1,0.2867560716193528,0.44117669150872274,0.3661806653994154,by tracing ability,1
7,2,0.3849269792234831,0.523448861442949,0.4508235673289519,by tracing ability,2
7,3,0.4217382106275649,0.5689464726262672,0.4963838633991771,by tracing ability,3
8,1,0.2659200285530073,0.41992071167603073,0.34137422860827116,by tracing ability,1
8,2,0.40464673432504317,0.54349157829167,0.47720362766318647,by tracing ability,2
8,3,0.4755059345557121,0.6245034572719483,0.5480818661222105,by tracing ability,3
9,1,0.2644927536231884,0.4579800724637681,0.35942028985507246,by tracing ability,1
9,2,0.3648465770340771,0.5396023464382839,0.4516770844895845,by tracing ability,2
9,3,0.4534708022482549,0.5886389250101034,0.5214991131303051,by tracing ability,3
10,1,0.3334498096466182,0.48136611172515426,0.40831798225415245,by tracing ability,1
10,2,0.38141774536039724,0.526093120491945,0.4574864207072024,by tracing ability,2
10,3,0.4572921573044416,0.5991564541464216,0.5289003657817316,by tracing ability,3
