sketch_path,filename,category,age_numeric,gameType,count_parts,count_unint,count_strokes,model_correct,kid_correct,log_odds,count_parts_bin
airplane_sketch_age4_cdm_run_v31528052168660,airplane_sketch_age4_cdm_run_v31528052168660.png,airplane,4,vehicles,5,1,10,1,0.9375,-0.32692641814578816,1
airplane_sketch_age4_cdm_run_v31528135799225,airplane_sketch_age4_cdm_run_v31528135799225.png,airplane,4,vehicles,3,0,5,1,0.7692307692307693,0.031243316196444895,1
airplane_sketch_age4_cdm_run_v31528316999098,airplane_sketch_age4_cdm_run_v31528316999098.png,airplane,4,vehicles,1,1,2,1,0.2727272727272727,-0.4604138709281209,1
airplane_sketch_age4_cdm_run_v31528324990435,airplane_sketch_age4_cdm_run_v31528324990435.png,airplane,4,vehicles,5,1,26,0,0.3125,-1.4071411750996954,1
airplane_sketch_age4_cdm_run_v31528580999095,airplane_sketch_age4_cdm_run_v31528580999095.png,airplane,4,vehicles,4,1,9,1,1,-0.6608724067276381,1
airplane_sketch_age4_cdm_run_v31528845599021,airplane_sketch_age4_cdm_run_v31528845599021.png,airplane,4,vehicles,4,0,10,1,0.7142857142857143,-0.24114093574426,1
airplane_sketch_age4_cdm_run_v31528912799246,airplane_sketch_age4_cdm_run_v31528912799246.png,airplane,4,vehicles,4,0,7,1,0.8461538461538461,-0.317191485663945,1
airplane_sketch_age4_cdm_run_v31528921199246,airplane_sketch_age4_cdm_run_v31528921199246.png,airplane,4,vehicles,1,0,4,1,0.75,-0.2771618285691326,1
airplane_sketch_age4_cdm_run_v31529092199275,airplane_sketch_age4_cdm_run_v31529092199275.png,airplane,4,vehicles,3,1,7,0,0.75,-0.6969476415174487,1
airplane_sketch_age4_cdm_run_v31529263799251,airplane_sketch_age4_cdm_run_v31529263799251.png,airplane,4,vehicles,5,0,6,1,0.8,-0.3183034572951922,1
airplane_sketch_age4_cdm_run_v31530309361085,airplane_sketch_age4_cdm_run_v31530309361085.png,airplane,4,vehicles,3,0,5,0,0.5,-1.1052683406584047,1
airplane_sketch_age4_cdm_run_v31530401539082,airplane_sketch_age4_cdm_run_v31530401539082.png,airplane,4,vehicles,3,1,7,1,0.7272727272727273,-0.15908202186373546,1
airplane_sketch_age4_cdm_run_v31530478539938,airplane_sketch_age4_cdm_run_v31530478539938.png,airplane,4,vehicles,3,0,5,1,1,-0.3953811425361177,1
airplane_sketch_age4_cdm_run_v31530480400108,airplane_sketch_age4_cdm_run_v31530480400108.png,airplane,4,vehicles,3,0,5,1,0.8333333333333334,-0.7966902215369546,1
airplane_sketch_age4_cdm_run_v31530482097386,airplane_sketch_age4_cdm_run_v31530482097386.png,airplane,4,vehicles,3,0,5,1,0.7692307692307693,0.09293018736229146,1
airplane_sketch_age4_cdm_run_v31530744309602,airplane_sketch_age4_cdm_run_v31530744309602.png,airplane,4,vehicles,0,1,9,0,0.6,-0.760618731564579,1
airplane_sketch_age4_cdm_run_v31531340810170,airplane_sketch_age4_cdm_run_v31531340810170.png,airplane,4,vehicles,3,0,6,1,0.8,-0.4604996454489152,1
airplane_sketch_age4_cdm_run_v31531506470981,airplane_sketch_age4_cdm_run_v31531506470981.png,airplane,4,vehicles,0,1,1,0,0.09090909090909091,-1.7546706040119948,1
airplane_sketch_age4_cdm_run_v31531506812090,airplane_sketch_age4_cdm_run_v31531506812090.png,airplane,4,vehicles,4,1,9,0,0.8,-1.042195085974133,1
airplane_sketch_age4_cdm_run_v31531609488118,airplane_sketch_age4_cdm_run_v31531609488118.png,airplane,4,vehicles,0,1,4,1,0.25,-0.4806621839339018,1
airplane_sketch_age4_cdm_run_v31532042124941,airplane_sketch_age4_cdm_run_v31532042124941.png,airplane,4,vehicles,0,1,4,1,0,-0.8525168785537727,1
airplane_sketch_age4_cdm_run_v31532042260290,airplane_sketch_age4_cdm_run_v31532042260290.png,airplane,4,vehicles,2,0,5,1,0.9230769230769231,-0.6343897767026934,1
airplane_sketch_age5_cdm_run_v31527979799077,airplane_sketch_age5_cdm_run_v31527979799077.png,airplane,5,vehicles,4,0,5,0,0.7,-0.5593715423924452,1
airplane_sketch_age5_cdm_run_v31527981599050,airplane_sketch_age5_cdm_run_v31527981599050.png,airplane,5,vehicles,1,1,2,1,0.75,-0.6377429634638054,1
