age_numeric,category,ci_lower,ci_upper,mean
2,airplane,-3.50075507954371,-2.4421390250996757,-2.96425565839569
2,apple,-2.7594558807476885,-1.5238217509967036,-2.122525775479736
2,bear,-3.127305429039929,-2.2252318240265074,-2.6615040447775806
2,bed,-3.2492361265246186,-1.9323174336852853,-2.5665393144086224
2,bee,-3.2479541699438683,-2.5053479117365556,-2.870394436837743
2,bike,-2.9497406327976705,-1.6617468031321765,-2.30776942366762
2,bird,-4.11496871726822,-3.6011838424342795,-3.856177009320649
2,boat,-2.629481122608054,-1.569056889471522,-2.119232921584515
2,book,-2.8625982075376952,-1.811004535170615,-2.3546205090105654
2,bottle,-1.455493895428707,-0.2960539192320187,-0.8607459716937004
2,bowl,-2.1359840002546715,-1.0277854909267523,-1.567499583288558
2,cactus,-3.0865375745929553,-2.0872723071008124,-2.566110873421318
2,camel,-2.4996610480319035,-1.5880155946033336,-2.0541067467759673
2,car,-3.5556181168371173,-2.3724093188748463,-2.976695275491175
2,cat,-3.8825315578662756,-3.2839422902808075,-3.569220305698767
2,chair,-2.5323245106061836,-1.2945188292713343,-1.9389881961576152
2,clock,-2.56472571711859,-1.3726231508395512,-2.0055277738916204
2,couch,-3.232303147155116,-1.911009531075954,-2.5703109268270334
2,cow,-4.0808371254576175,-3.430426778562265,-3.765579781257867
2,cup,-3.552111537534767,-2.7431182354462567,-3.1537549132553364
2,dog,-4.688996133691656,-4.155703121123324,-4.4193952575377224
2,elephant,-3.5946560261104326,-2.724723390697112,-3.138158920080725
2,face,-2.760461358056519,-1.674084286863876,-2.235403807557476
2,fish,-3.507172111077063,-2.6933553782749198,-3.1048926138581163
2,frog,-3.9426688604275983,-3.206211434163773,-3.546341979066232
2,hand,-1.7856521825460108,-0.7903701963205938,-1.293313406326243
2,hat,-2.7106416709495034,-1.6969273619027465,-2.205979185403974
2,horse,-3.618316833180415,-2.662569337113696,-3.121638824956278
2,house,-3.090759964917547,-1.48207672367484,-2.2798743552070824
2,ice cream,-2.0334982612485724,-0.6059683183384998,-1.3346802214402083
2,key,-3.3264831153995944,-2.148534416268472,-2.6978471576102647
2,lamp,-2.7321600195949047,-1.329711830310813,-2.041196689086187
2,mushroom,-3.587005411081444,-1.926827984640535,-2.736401667093019
2,octopus,-3.171785955298742,-2.008366549922256,-2.570515644556984
2,person,-3.768292536067523,-2.8684997642552847,-3.3302416860851607
2,phone,-3.3205909733698697,-2.300993250126402,-2.829539013168744
2,piano,-2.195505736724439,-0.29426871104523866,-1.3012173595476368
2,rabbit,-3.5885273962399578,-2.4556703165523617,-3.005023700494376
2,scissors,-2.9209537900353633,-2.0499404664775462,-2.484030434570081
2,sheep,-4.074467341664238,-3.29347191797118,-3.7050750122462492
2,snail,-3.1480261615793625,-2.0411776414063922,-2.5903738601042035
2,spider,-2.8802472343414736,-2.1064253179898893,-2.4749623712329467
2,tiger,-3.2458073491693447,-2.755903523156226,-2.9887565095902295
2,train,-4.222664654016191,-3.244546088707038,-3.702738535907142
2,tree,-3.7637997019260676,-2.8139412093825014,-3.2996425457223255
2,TV,-2.920246284921548,-1.834138457842411,-2.4146844339102995
2,watch,-3.649191076331666,-2.5876302823028974,-3.1286922028969033
2,whale,-3.3185205893864738,-2.3173700180331482,-2.8127260532295097
3,airplane,-3.5033135296372024,-2.8674759149039692,-3.1961782919900896
3,apple,-2.314369775226595,-1.3378503793463052,-1.8193544004617406
3,bear,-3.595112961020565,-2.9424867238260366,-3.261781512933407
3,bed,-3.3881134847048378,-2.6831840485253227,-3.059738682340799
3,bee,-3.392261165462189,-2.6744842177845864,-3.0305914408622634
3,bike,-3.0490087143930817,-2.1254161604257096,-2.5661947665805958
3,bird,-4.223116362546602,-3.768040176260164,-3.9884322807660184
3,boat,-3.596013901830269,-2.7676469283939125,-3.174973961154751
3,book,-2.530122730285868,-1.5812099298802003,-2.055582005372235
3,bottle,-1.9212423982566476,-0.8996878896940841,-1.3973613825635984
3,bowl,-2.616360934793498,-1.7764958716476726,-2.2154779141910996
3,cactus,-3.201442293122235,-2.334529868446343,-2.7675025380660996
3,camel,-2.3511900106612376,-1.4548872657861283,-1.9038370705159111
