intended_category,age_numeric,count_kid_recognition,count_clip_recognition,kid,model,category,drawings_total
airplane,3,13,72,0.6538461538461539,0.05333333333333334,airplane,85
airplane,4,20,44,0.7727272727272727,0.06666666666666667,airplane,64
airplane,5,18,50,0.7045454545454546,0.09803921568627451,airplane,68
airplane,6,16,52,0.7941176470588235,0.09615384615384616,airplane,68
airplane,7,15,16,0.896551724137931,0.25,airplane,31
airplane,8,14,15,0.8823529411764706,0.2,airplane,29
airplane,9,9,24,0.8888888888888888,0.125,airplane,33
airplane,10,10,48,0.875,0.22448979591836735,airplane,58
bear,3,30,152,0.32727272727272727,0.13071895424836602,bear,182
bear,4,40,180,0.37735849056603776,0.15384615384615385,bear,220
bear,5,37,160,0.4411764705882353,0.16149068322981366,bear,197
bear,6,40,149,0.5666666666666667,0.16778523489932887,bear,189
bear,7,28,78,0.6166666666666667,0.07692307692307693,bear,106
bear,8,19,32,0.35714285714285715,0.30303030303030304,bear,51
bear,9,24,44,0.4594594594594595,0.36363636363636365,bear,68
bear,10,22,67,0.5625,0.35294117647058826,bear,89
bird,3,31,82,0.6078431372549019,0.15853658536585366,bird,113
bird,4,35,35,0.7121212121212122,0.14285714285714285,bird,70
bird,5,38,49,0.6785714285714286,0.2653061224489796,bird,87
bird,6,24,42,0.8181818181818182,0.27906976744186046,bird,66
bird,7,19,19,0.8064516129032258,0.5789473684210527,bird,38
bird,8,15,9,0.7777777777777778,0.2222222222222222,bird,24
bird,9,12,29,0.9230769230769231,0.5517241379310345,bird,41
bird,10,26,44,0.8372093023255814,0.5681818181818182,bird,70
boat,3,29,117,0.673469387755102,0.27350427350427353,boat,146
boat,4,37,85,0.8072289156626506,0.2823529411764706,boat,122
boat,5,38,104,0.8260869565217391,0.3904761904761905,boat,142
boat,6,32,52,0.7796610169491526,0.4230769230769231,boat,84
boat,7,35,37,0.8928571428571429,0.5675675675675675,boat,72
boat,8,23,44,0.9428571428571428,0.5681818181818182,boat,67
boat,9,18,42,0.8,0.6428571428571429,boat,60
boat,10,28,59,0.851063829787234,0.6779661016949152,boat,87
bottle,3,24,62,0.46153846153846156,0.38095238095238093,bottle,86
bottle,4,26,94,0.6236559139784946,0.3263157894736842,bottle,120
bottle,5,26,103,0.6985294117647058,0.25961538461538464,bottle,129
bottle,6,25,78,0.7466666666666667,0.38461538461538464,bottle,103
bottle,7,26,57,0.7816091954022989,0.45614035087719296,bottle,83
bottle,8,23,23,0.8028169014084507,0.6666666666666666,bottle,46
bottle,9,20,31,0.8666666666666667,0.6129032258064516,bottle,51
bottle,10,23,45,0.7619047619047619,0.7111111111111111,bottle,68
camel,3,27,47,0.34146341463414637,0.375,camel,74
camel,4,34,78,0.57,0.2375,camel,112
camel,5,32,78,0.39759036144578314,0.1794871794871795,camel,110
camel,6,32,64,0.6911764705882353,0.28125,camel,96
camel,7,32,39,0.6610169491525424,0.2564102564102564,camel,71
camel,8,13,11,0.7307692307692307,0.36363636363636365,camel,24
camel,9,20,28,0.6956521739130435,0.41379310344827586,camel,48
camel,10,17,42,0.8148148148148148,0.5116279069767442,camel,59
car,3,19,108,0.5428571428571428,0.17272727272727273,car,127
car,4,28,92,0.5625,0.15217391304347827,car,120
car,5,25,112,0.5666666666666667,0.25892857142857145,car,137
car,6,25,45,0.7818181818181819,0.10869565217391304,car,70
car,7,20,33,0.78125,0.4117647058823529,car,53
car,8,12,42,0.8421052631578947,0.3333333333333333,car,54
car,9,14,43,0.8947368421052632,0.46511627906976744,car,57
car,10,21,53,0.75,0.4444444444444444,car,74
cup,3,25,126,0.5512820512820513,0.14173228346456693,cup,151
cup,4,25,80,0.6982758620689655,0.18518518518518517,cup,105
cup,5,24,112,0.7698412698412699,0.12389380530973451,cup,136
cup,6,23,55,0.7777777777777778,0.2807017543859649,cup,78
cup,7,24,35,0.8095238095238095,0.3142857142857143,cup,59
cup,8,22,34,0.8266666666666667,0.3235294117647059,cup,56
cup,9,17,42,0.9,0.5116279069767442,cup,59
cup,10,21,58,0.8431372549019608,0.5689655172413793,cup,79
dog,3,19,114,0.21428571428571427,0.06140350877192982,dog,133
dog,4,23,85,0.35,0.047058823529411764,dog,108
dog,5,21,106,0.45454545454545453,0.08490566037735849,dog,127
dog,6,19,53,0.4827586206896552,0.07407407407407407,dog,72
dog,7,15,38,0.7,0.23076923076923078,dog,53
