category,model_correct_bin,roi_labelName,avg_emphasis,count_drawings_with_part,count_images_bin,prop_drawings
airplane,1,cockpit,0.08276216160674175,7,26,0.2692307692307692
airplane,1,nose,0.1557903343121372,4,26,0.15384615384615385
airplane,1,tail,0.1484767568456422,12,26,0.46153846153846156
airplane,1,window,0.20989179943133202,15,26,0.5769230769230769
airplane,1,wing,0.24016368452293013,21,26,0.8076923076923077
airplane,2,cockpit,0.05782504350474245,7,27,0.25925925925925924
airplane,2,nose,0.15880654287472287,2,27,0.07407407407407407
airplane,2,tail,0.15701757360456525,11,27,0.4074074074074074
airplane,2,window,0.22081286330520494,14,27,0.5185185185185185
airplane,2,wing,0.2855444990402041,23,27,0.8518518518518519
airplane,3,cockpit,0.12821023770779053,6,29,0.20689655172413793
airplane,3,nose,0.0945220746482052,4,29,0.13793103448275862
airplane,3,tail,0.1692428429221179,8,29,0.27586206896551724
airplane,3,window,0.22265780898937634,13,29,0.4482758620689655
airplane,3,wing,0.309811924852083,28,29,0.9655172413793104
airplane,4,cockpit,0.0800703768069994,7,22,0.3181818181818182
airplane,4,nose,0.23463233284425963,1,22,0.045454545454545456
airplane,4,tail,0.12610950689053854,13,22,0.5909090909090909
airplane,4,window,0.18513258579366632,18,22,0.8181818181818182
airplane,4,wing,0.29613607749709076,22,22,1
bear,1,ear,0.2327861220235105,6,14,0.42857142857142855
bear,1,eye,0.08801130253767524,11,14,0.7857142857142857
bear,1,leg,0.28042368651776817,9,14,0.6428571428571429
bear,1,mouth,0.08175204771048161,11,14,0.7857142857142857
bear,1,nose,0.04575537428378216,6,14,0.42857142857142855
bear,2,ear,0.22434812055190698,11,16,0.6875
bear,2,eye,0.07941617586333964,13,16,0.8125
bear,2,leg,0.2632118360804823,7,16,0.4375
bear,2,mouth,0.06293081725581277,12,16,0.75
bear,2,nose,0.050680862290869516,3,16,0.1875
bear,3,ear,0.18837719413931167,11,13,0.8461538461538461
bear,3,eye,0.11268292650535329,12,13,0.9230769230769231
bear,3,leg,0.19539367467500285,8,13,0.6153846153846154
bear,3,mouth,0.05021339515279525,7,13,0.5384615384615384
bear,3,nose,0.04053675803498903,6,13,0.46153846153846156
bear,4,ear,0.15465146870961616,12,13,0.9230769230769231
bear,4,eye,0.08030600710032784,10,13,0.7692307692307693
bear,4,leg,0.157002800030254,8,13,0.6153846153846154
bear,4,mouth,0.04632055312140446,9,13,0.6923076923076923
bear,4,nose,0.005297490403856703,2,13,0.15384615384615385
bird,1,beak,0.09875020543060714,22,32,0.6875
bird,1,eye,0.05564287475815897,21,32,0.65625
bird,1,foot,0.11484336876984563,9,32,0.28125
bird,1,leg,0.09353316523340613,10,32,0.3125
bird,1,wing,0.3343887994624491,21,32,0.65625
bird,2,beak,0.09733414757404729,23,34,0.6764705882352942
bird,2,eye,0.07494669516636149,23,34,0.6764705882352942
bird,2,foot,0.11823354697268189,5,34,0.14705882352941177
bird,2,leg,0.07337640920178848,8,34,0.23529411764705882
bird,2,wing,0.32174381230757293,21,34,0.6176470588235294
bird,3,beak,0.09620545558684342,17,32,0.53125
bird,3,eye,0.039415429075703994,22,32,0.6875
bird,3,foot,0.1252793248115666,11,32,0.34375
bird,3,leg,0.09950714983957268,11,32,0.34375
bird,3,wing,0.25536454309434087,18,32,0.5625
bird,4,beak,0.10724436194397528,19,29,0.6551724137931034
bird,4,eye,0.042941176085535854,17,29,0.5862068965517241
bird,4,foot,0.13149021588042373,11,29,0.3793103448275862
