layer,age_numeric,ci_lower,ci_upper,mean,layer_ordered
P1,2,0.07039799451008237,0.1324892753901815,0.10036445135761009,P1
P1,3,0.07217806190384589,0.1420051762418271,0.10650119304590908,P1
P1,4,0.07946125359992462,0.14465294146838364,0.11068150156170298,P1
P1,5,0.09396081532027925,0.16480809210511274,0.1281067782334785,P1
P1,6,0.10028303537456376,0.18166827668592378,0.14135546977152863,P1
P1,7,0.11199767314224518,0.201420484206115,0.1539111860823074,P1
P1,8,0.09465529095480005,0.18014116031897812,0.13661453025286072,P1
P1,9,0.0977023740265591,0.1841431415882921,0.13955237152843894,P1
P1,10,0.11073803085194342,0.1937741514524428,0.1508631574082822,P1
P2,2,0.10811013478156034,0.1656215337833767,0.13596815693026124,P2
P2,3,0.1104455313110942,0.17527282287288154,0.13958690964663745,P2
P2,4,0.11469940227870722,0.18368333117327706,0.1480616675321184,P2
P2,5,0.15128321491393434,0.22909981889608025,0.18778943208134144,P2
P2,6,0.17371972037260935,0.25826910307343665,0.21443630281211448,P2
P2,7,0.18611618455523748,0.27669585811668546,0.23169678234162613,P2
P2,8,0.183111831593809,0.27487440540452973,0.22798682260391595,P2
P2,9,0.18376334000182518,0.30126826510878085,0.24278653154961663,P2
P2,10,0.18638885657137735,0.2840742637405985,0.2342025249078232,P2
P3,2,0.22526263079842268,0.30436435222638625,0.2620740711780764,P3
P3,3,0.1995778478083649,0.275372718946207,0.23596763319480457,P3
P3,4,0.2325033645602294,0.30750473166139825,0.26817156904283457,P3
P3,5,0.2898399154646621,0.37832660189631223,0.33224776491748587,P3
P3,6,0.32785059741130995,0.4314773659554888,0.3782809761373533,P3
P3,7,0.3678237572463749,0.48518573030855,0.42916377346830087,P3
P3,8,0.37190887536430617,0.47627029125819087,0.4255325216353608,P3
P3,9,0.36614955528446785,0.4774682614158066,0.42250561872219866,P3
P3,10,0.4016375647840818,0.5196646476982434,0.4648680024534165,P3
P4,2,0.3060934664362016,0.3878375244053862,0.3469220959331879,P4
P4,3,0.28359715221310766,0.36000277644607354,0.3236616416362978,P4
P4,4,0.31676277911149825,0.39807190586455304,0.35875654487000813,P4
P4,5,0.38030235712943716,0.48393552383653193,0.42863129472155065,P4
P4,6,0.4384562680002618,0.543460382801151,0.4944909490304295,P4
P4,7,0.4947131172295934,0.6122009587024275,0.555243067939474,P4
P4,8,0.5079282636990123,0.6140322091448263,0.5609675861799727,P4
P4,9,0.4911811889037739,0.5996778250723758,0.5475342597127344,P4
P4,10,0.5295397176316506,0.6297854054251752,0.5821704729088463,P4
P5,2,0.26377839870329106,0.3522013015496426,0.3056843054963435,P5
P5,3,0.252396758197447,0.33270088489628785,0.2929969944281165,P5
P5,4,0.270929308887795,0.36757567468385205,0.31721874730482325,P5
P5,5,0.3195466677884168,0.4242407137670349,0.37447428235465463,P5
P5,6,0.38364851415378465,0.4960929297780247,0.44163595465112887,P5
P5,7,0.4263763698873721,0.543276329915854,0.4842677747237776,P5
P5,8,0.4470496564448969,0.5566358632487504,0.502172144860907,P5
P5,9,0.426553253660151,0.5487332651768375,0.4912726514186724,P5
P5,10,0.44076322655303984,0.5568445016968021,0.498391071731373,P5
FC6,2,0.2656146548436466,0.35125984156851425,0.3091021584720827,FC6
FC6,3,0.24637954072083348,0.3219732659586148,0.28623056391084856,FC6
FC6,4,0.2661153504510391,0.3543038949451116,0.30824342654670567,FC6
FC6,5,0.33237026873881287,0.43848176776115483,0.38478490173974766,FC6
FC6,6,0.3751285445991161,0.49625047512499343,0.43504691839378873,FC6
FC6,7,0.408976606970326,0.5345994658724833,0.4694101711578897,FC6
FC6,8,0.42954935474466027,0.543961421017068,0.4901302581722387,FC6
FC6,9,0.40652077472619064,0.5440007216822662,0.48103453443556393,FC6
FC6,10,0.434920148863996,0.554823412034183,0.49615476069516606,FC6
FC7,2,0.2242902623380256,0.3077943238357092,0.2682544690635308,FC7
FC7,3,0.21246716967863463,0.29151943500352295,0.25217681344694526,FC7
FC7,4,0.2182456523322274,0.3036673901083995,0.26035374767575237,FC7
FC7,5,0.2835482286088178,0.3849047333420087,0.3349500287406124,FC7
FC7,6,0.3252066306136052,0.4382778482777674,0.3792221758095478,FC7
FC7,7,0.36245436856050456,0.4813327389633422,0.4186520503456518,FC7
FC7,8,0.36106124143555146,0.4787611009927941,0.4186144084430795,FC7
FC7,9,0.36234007991482975,0.47690192691371053,0.42101387270285573,FC7
FC7,10,0.3847493864446152,0.5055522557113409,0.44447584490026126,FC7
