age_numeric,category,ci_lower,ci_upper,mean
2,airplane,-3.4917470304017373,-2.4393496844707765,-2.96425565839569
2,apple,-2.742256349830731,-1.5536373697787416,-2.122525775479736
2,bear,-3.1137485819603117,-2.248608051326095,-2.6615040447775806
2,bed,-3.2099249163835233,-1.9640788312503163,-2.5665393144086224
2,bee,-3.231629667826033,-2.497891314869625,-2.870394436837743
2,bike,-2.906340387038454,-1.6513931442297043,-2.30776942366762
2,bird,-4.13488582326206,-3.5929623274173292,-3.856177009320649
2,boat,-2.6131183976630115,-1.5324652846605615,-2.119232921584515
2,book,-2.85483671970831,-1.8075363500178103,-2.3546205090105654
2,bottle,-1.4104097656037071,-0.27990487233628747,-0.8607459716937004
2,bowl,-2.0888589871768937,-1.0123589217111066,-1.567499583288558
2,cactus,-3.075775462263357,-2.0758552598956435,-2.566110873421318
2,camel,-2.4869955056090114,-1.6217300720019796,-2.0541067467759673
2,car,-3.5625424083862205,-2.395933195997553,-2.976695275491175
2,cat,-3.8820342126797636,-3.2746029467320277,-3.569220305698767
2,chair,-2.561286482812081,-1.306140870699781,-1.9389881961576152
2,clock,-2.5902026415214725,-1.3715572599368542,-2.0055277738916204
2,couch,-3.2432731572259703,-1.9328435134804736,-2.5703109268270334
2,cow,-4.099488924151645,-3.45676549038149,-3.765579781257867
2,cup,-3.5725832542059672,-2.755919814236134,-3.1537549132553364
2,dog,-4.720371300704168,-4.151858883626002,-4.4193952575377224
2,elephant,-3.5767232775830866,-2.7393977581004783,-3.138158920080725
2,face,-2.755662919776784,-1.7268186776419907,-2.235403807557476
2,fish,-3.5152959396122516,-2.7017609388507924,-3.1048926138581163
2,frog,-3.9285739344240813,-3.1990565645920506,-3.546341979066232
2,hand,-1.8036966822269669,-0.8124692959009591,-1.293313406326243
2,hat,-2.6905658629303315,-1.6989177216652047,-2.205979185403974
2,horse,-3.5844934438743876,-2.645751781399013,-3.121638824956278
2,house,-3.0247879473796533,-1.436664799231061,-2.2798743552070824
2,ice cream,-2.077615613495129,-0.6706472055737733,-1.3346802214402083
2,key,-3.396082801297779,-2.1565996345642584,-2.6978471576102647
2,lamp,-2.726862070461153,-1.3557170265164675,-2.041196689086187
2,mushroom,-3.623352683516553,-1.805340350965049,-2.736401667093019
2,octopus,-3.1991970690723206,-2.021611433598614,-2.570515644556984
2,person,-3.7892565276915526,-2.883756350992023,-3.3302416860851607
2,phone,-3.3095656229661436,-2.298591893541424,-2.829539013168744
2,piano,-2.2010480308487415,-0.25752814092441983,-1.3012173595476368
2,rabbit,-3.562142485523875,-2.4743395682893414,-3.005023700494376
2,scissors,-2.9090724752708166,-2.038643660954181,-2.484030434570081
2,sheep,-4.076955897885267,-3.2826241520367785,-3.7050750122462492
2,snail,-3.157937138338731,-2.037286033789611,-2.5903738601042035
2,spider,-2.8970992925594863,-2.1156899576901482,-2.4749623712329467
2,tiger,-3.2473922792651484,-2.752552584856813,-2.9887565095902295
2,train,-4.179681846575618,-3.231812606635347,-3.702738535907142
2,tree,-3.7723844712111414,-2.853012998646567,-3.2996425457223255
2,TV,-2.934852084462209,-1.90084250922919,-2.4146844339102995
2,watch,-3.62697333534932,-2.5857153295088575,-3.1286922028969033
2,whale,-3.292595154584202,-2.367878696851855,-2.8127260532295097
3,airplane,-3.4674529803444902,-2.8978937518699195,-3.1961782919900896
3,apple,-2.2754388543305946,-1.3512108226441266,-1.8193544004617406
3,bear,-3.5838344568137708,-2.9650080937368872,-3.261781512933407
3,bed,-3.42787696800856,-2.6896230627663007,-3.059738682340799
3,bee,-3.388550289560086,-2.672596359249535,-3.0305914408622634
3,bike,-3.053291579199438,-2.0912079566521156,-2.5661947665805958
