category,drawing_frequency,above_median_freq
TV,1.9803921568627452,FALSE
airplane,2.2745098039215685,TRUE
apple,2.176470588235294,TRUE
bear,1.9019607843137254,FALSE
bed,2.2745098039215685,TRUE
bee,2.1176470588235294,TRUE
bike,2.2745098039215685,TRUE
bird,2.627450980392157,TRUE
boat,2.2549019607843137,TRUE
book,2.196078431372549,TRUE
bottle,1.5098039215686274,FALSE
bowl,1.6666666666666667,FALSE
cactus,1.4313725490196079,FALSE
camel,1.2156862745098038,FALSE
car,3.0392156862745097,TRUE
cat,2.823529411764706,TRUE
chair,2.019607843137255,FALSE
clock,2.0980392156862746,TRUE
couch,1.7254901960784315,FALSE
cow,1.9019607843137254,FALSE
cup,1.9607843137254901,FALSE
dog,2.9411764705882355,TRUE
elephant,2.019607843137255,FALSE
face,4.078431372549019,TRUE
fish,2.4313725490196076,TRUE
frog,1.7843137254901962,FALSE
hand,2.9019607843137254,TRUE
hat,2.176470588235294,TRUE
horse,1.9803921568627452,FALSE
house,3.3137254901960786,TRUE
ice.cream,2.3137254901960786,TRUE
key,1.392156862745098,FALSE
lamp,1.4705882352941178,FALSE
mushroom,1.3137254901960784,FALSE
octopus,1.7843137254901962,FALSE
person,4.176470588235294,TRUE
phone,1.7450980392156863,FALSE
piano,1.3137254901960784,FALSE
rabbit,2.1372549019607843,TRUE
scissors,1.4509803921568627,FALSE
sheep,1.7450980392156863,FALSE
snail,1.8235294117647058,FALSE
spider,2.2941176470588234,TRUE
tiger,1.7843137254901962,FALSE
train,2.5294117647058822,TRUE
tree,3.196078431372549,TRUE
watch,1.4313725490196079,FALSE
whale,1.6274509803921569,FALSE
